16807,115249
10073,103658
28930,51272
107544,90878
57923,117709
4440,38165
84492,83042
87987,42503
82327,91729
58840,22612
24303,33169
17709,97157
89560,90933
93099,40278
71816,35335
99097,7826
93512,49267
83810,117633
60979,59149
36579,118821
111967,50672
61393,99336
45485,91745
65228,54091
40194,106357
115001,41153
16708,77944
35668,91490
68124,22196
109530,100903
47722,94666
48549,38024
77801,6853
100977,87408
108228,94933
60298,58981
68635,48013
23865,69814
59063,34536
99425,41669
44115,60094
115629,46501
106517,14195
30105,90404
119451,74298
22188,101123
79505,46882
46752,51566
56716,50337
74438,93144
51501,84897
103871,35828
111137,19358
73177,62397
42294,77904
101609,26231
79745,44175
13635,106298
18142,40399
27968,10412
40260,113557
81594,8008
116395,85968
39113,44530
31006,70962
37942,5365
42082,19852
50767,73821
25695,24712
13671,19901
48590,84831
74738,33057
111616,19790
115640,30679
117335,37006
17972,56098
49095,95319
23454,25223
72289,76760
68905,66126
36123,9506
5813,36770
95238,9094
56220,67844
112366,100534
85226,35394
61363,78738
87844,119590
76550,105159
8623,4947
117385,27217
75272,115539
79247,2385
93496,94885
20623,82420
68144,51968
55735,99915
41625,23534
46042,36011
14679,64152
95244,57295
78818,110396
7692,61815
72991,20033
2669,39397
89553,90547
95825,41210
9662,110211
53808,113377
62761,80625
17335,1868
57995,82776
22767,117439
69874,89331
20556,96301
68872,60560
40094,118984
33755,39789
11407,108015
30193,22769
15680,23455
96855,67506
90963,33502
106676,103108
3249,2331
77844,87638
80808,19997
108651,54849
85203,15731
36531,38014
75419,36775
2009,90180
47929,75223
4054,68260
76737,31545
67317,117525
84200,94256
101564,597
66648,97704
25550,45150
21976,61412
98554,82797
62504,68381
114748,7065
59378,47699
118209,85129
98553,25483
50447,104607
60773,85322
64305,115176
90053,47224
64630,80366
5400,60444
55370,90285
3016,73898
88155,41133
75557,56576
73178,58266
107357,61711
27878,40614
114819,115737
103133,20591
103720,88762
106633,96197
56031,38588
20589,54873
38877,117304
59358,61200
17254,68960
94915,13947
5480,87730
29955,114546
77107,1238
60000,104926
65035,94857
81113,50114
9593,41360
18354,48418
105357,102585
33729,1015
96563,66102
20917,66643
59419,62967
27747,45269
55395,63303
4473,119103
71748,24385
85658,43459
5406,113930
99824,45132
20973,79603
6897,107920
43950,15231
88480,20203
53900,24520
22533,41258
17003,58676
20950,63934
38780,79879
61832,42574
73549,14542
26249,92771
86310,115879
80983,69970
32040,82723
33650,62971
113229,110318
37746,30299
7230,25621
30776,50124
68244,76958
27696,66771
29064,111560
16598,38751
109940,84503
109551,72801
67205,115080
60418,79274
19649,40413
63320,79025
2012,21783
14788,104117
104008,41550
105324,39195
11257,24511
75690,78666
102410,593
50553,49565
110960,28742
31403,94352
7307,96141
4910,93200
112799,23127
80171,77787
14414,31625
36641,59517
95348,21842
114315,35974
61445,91373
52220,59911
69239,85054
41305,116929
102253,74189
15166,84356
39304,99860
5898,45592
21720,106116
111580,98867
29352,106939
18698,14901
80811,76616
116891,8671
11728,46671
31661,117045
63120,100240
117158,99453
89627,5350
13711,15563
109594,47533
81727,107827
38795,119531
57442,71516
5006,38515
66924,82601
27097,48661
87103,114324
60108,4936
82281,77015
83710,43216
21905,95973
87781,42720
70791,81169
97865,115827
49536,96728
117125,40384
60167,29949
60476,96046
81576,88666
97467,100520
67384,101991
105210,53258
68211,68744
59518,45718
81934,106825
767,58689
9818,113014
51825,102918
78028,93029
38034,46727
111240,93754
46540,8396
10935,43083
8048,86865
47011,15252
113064,97876
